fund_id,fund_name,holding_count,listed_weight_pct,top5_weight_pct,top10_weight_pct,max_weight_pct,top_holdings
cathay_esg,國泰台灣 ESG 永續高股息 ETF (00878),15,46.61855338144662,25.167974832025173,37.93396206603793,7.25869274130726,聯華電子股份有限公司 / 聯發科技股份有限公司 / 日月光投資控股股份有限公司 / 華碩電腦股份有限公司 / 京元電子股份有限公司
uni_penta,統一奔騰基金,21,89.2861,41.7201,72.6632,8.9791,奇鋐科技股份有限公司 / 台灣積體電路製造股份有限公司 / 金像電子（股）公司 / 智邦科技股份有限公司 / 貿聯控股（BizLink Holding Inc）
nomura_growth,野村成長基金,30,89.4074,32.9713,57.070600000000006,8.1084,台灣積體電路製造股份有限公司 / 健策精密工業股份有限公司 / 奇鋐科技股份有限公司 / 貿聯控股（BizLink Holding Inc） / 金像電子（股）公司
