fund_id,fund_name,n_obs,alpha_monthly_pct,alpha_annualized_pct,alpha_p_value,mkt_beta,mkt_p_value,smb_beta,smb_p_value,hml_beta,hml_p_value,mom_beta,mom_p_value,r_squared,adj_r_squared
cathay_esg,國泰台灣 ESG 永續高股息 ETF (00878),60,-0.19657902529912288,-2.3336101022455424,0.574312788746421,0.6248878690138502,3.109329260416201e-11,0.03742211803164258,0.729639639902532,0.17254360818859316,0.10875605507250842,0.10186111817297194,0.3069382993275556,0.6449697212639645,0.6191493373558892
uni_penta,統一奔騰基金,60,0.6404417392324828,7.9618734354203635,0.33400327153768594,1.1241609732677582,1.3610066368167564e-10,0.4852643821683973,0.02056860011564408,0.009507227985065397,0.9622421803278581,0.43617300071672704,0.02306459765221999,0.6390018664098496,0.6127474566942023
nomura_growth,野村成長基金,60,0.6462108893340959,8.036163013722541,0.3106071062592199,1.2632083218334431,9.553859784777302e-13,0.4285194215228656,0.032676819530787105,-0.3524335377172535,0.07198475066136015,0.23297456170118552,0.19922067097842783,0.7219418751773528,0.701719466099342
