asset_id,asset_name,asset_name_zh,n_obs,r_squared,adj_r_squared,alpha_monthly_pct,alpha_annualized_pct,alpha_p_value,f_stat,f_p_value,dw_stat
allianz,Allianz Taiwan Smart,安聯台灣智慧,58,0.845651838383995,0.8274932311350534,0.1152921992081427,1.3923131052538062,0.8087349955106472,46.570302820623944,5.354264231124942e-19,2.063127609969852
jko,JKO Taiwan 5Y,街口台灣5年,58,0.7508278753904553,0.7215135077893323,0.30378702727694784,3.7069744720497066,0.6168551571634606,25.612965137330608,8.594823670766266e-14,1.7750017069568498
0050,0050 ETF,0050 ETF,58,0.9692089887230775,0.9655865168081454,0.05184972481682866,0.6239741080330985,0.7470935107917674,267.55459020342903,9.777672486880179e-37,2.015992603731846
