Date,open,high,low,close,adjusted_close,volume,dividend_amount,ret,month
2021-01-29,16.54,17.24,16.49,16.58,11.8027,0,0.0,,2021-01
2021-02-26,16.9,17.68,16.45,16.46,11.9876,0,0.4,0.01566590695349368,2021-02
2021-03-31,16.85,16.85,16.03,16.8,12.2352,0,0.0,0.020654676499048952,2021-03
2021-04-30,17.09,18.17,17.09,17.98,13.0945,0,0.0,0.07023179024454018,2021-04
2021-05-28,17.91,18.02,17.15,18.02,13.1237,0,0.0,0.0022299438695634333,2021-05
2021-06-30,17.99,18.79,17.9,18.76,13.6626,0,0.0,0.04106311482280156,2021-06
2021-07-30,18.85,19.47,18.64,19.16,13.9539,0,0.0,0.02132097843748637,2021-07
2021-08-31,19.13,20.06,19.13,20.03,14.5875,0,0.0,0.04540666050351505,2021-08
2021-09-30,20.09,20.11,18.83,18.83,13.7136,0,0.0,-0.05990745501285355,2021-09
2021-10-29,19.0,20.14,18.58,20.14,14.6676,0,0.0,0.06956597829891509,2021-10
2021-11-30,20.09,20.9,20.09,20.12,14.6531,0,0.0,-0.000988573454416497,2021-11
2021-12-31,19.71,20.45,18.07,18.76,14.8463,0,1.627,0.013184923326804432,2021-12
2022-01-31,18.81,18.81,16.34,17.22,13.6275,0,0.0,-0.0820945286030863,2022-01
2022-02-28,17.4,17.59,15.49,16.17,12.9612,0,0.215,-0.048893780957622424,2022-02
2022-03-31,15.92,17.12,15.13,16.7,13.3861,0,0.0,0.03278245841434435,2022-03
2022-04-29,16.75,16.95,14.77,14.77,11.8391,0,0.0,-0.1155676410605031,2022-04
2022-05-31,14.9,15.39,13.84,14.58,11.6868,0,0.0,-0.012864153525183553,2022-05
2022-06-30,14.5,14.84,12.97,13.3,10.6608,0,0.0,-0.08779135434849572,2022-06
2022-07-29,13.4,14.51,13.31,14.51,11.6307,0,0.0,0.09097816298964423,2022-07
2022-08-31,14.44,15.17,13.93,13.93,11.1657,0,0.0,-0.039980396708710564,2022-08
2022-09-30,13.95,14.46,12.79,12.79,10.252,0,0.0,-0.08183096447155114,2022-09
2022-10-31,13.14,13.78,12.79,13.39,10.7329,0,0.0,0.04690792040577452,2022-10
2022-11-30,13.3,14.09,12.81,14.09,11.294,0,0.0,0.0522785081385273,2022-11
2022-12-30,14.05,14.06,11.89,12.09,10.6505,0,1.22,-0.056977156012041896,2022-12
2023-01-31,12.05,12.97,11.98,12.97,11.4257,0,0.0,0.07278531524341592,2023-01
2023-02-28,13.08,13.4,12.52,12.55,11.2153,0,0.186,-0.018414626674952195,2023-02
2023-03-31,12.52,13.29,12.37,13.29,11.8766,0,0.0,0.0589640936934368,2023-03
2023-04-28,13.4,13.72,13.26,13.72,12.2609,0,0.0,0.03235774548271397,2023-04
2023-05-31,13.74,14.15,13.41,14.07,12.5736,0,0.0,0.02550383740182216,2023-05
2023-06-30,14.26,14.92,14.26,14.92,13.3332,0,0.0,0.060412292422217906,2023-06
2023-07-31,14.91,15.54,14.79,15.54,13.8873,0,0.0,0.04155791557915589,2023-07
2023-08-31,15.53,15.53,14.92,15.39,13.7532,0,0.0,-0.009656304681255556,2023-08
2023-09-29,15.45,15.56,14.84,14.9,13.3154,0,0.0,-0.031832591687752654,2023-09
2023-10-31,14.97,15.39,14.5,14.76,13.1902,0,0.0,-0.00940264655962264,2023-10
2023-11-30,14.99,16.06,14.99,15.97,14.2716,0,0.0,0.08198511015754106,2023-11
2023-12-29,15.99,16.15,15.54,16.09,14.7685,0,0.422,0.03481739959079566,2023-12
2024-01-31,15.95,17.19,15.86,16.87,15.4845,0,0.0,0.04848156549412619,2024-01
2024-02-29,17.08,18.44,17.08,18.44,16.9377,0,0.013,0.09384868739707453,2024-02
2024-03-28,18.66,19.11,18.39,18.97,17.4245,0,0.0,0.028740620036958875,2024-03
2024-04-30,19.0,19.17,18.09,18.09,16.6162,0,0.0,-0.046388705558265575,2024-04
2024-05-31,18.11,19.57,18.11,19.34,17.7644,0,0.0,0.06910123855033046,2024-05
2024-06-28,19.47,20.38,19.43,20.2,18.5543,0,0.0,0.04446533516471152,2024-06
2024-07-31,20.28,20.96,19.41,19.9,18.2788,0,0.0,-0.014848310095234019,2024-07
2024-08-30,19.71,20.68,18.68,20.68,18.9952,0,0.0,0.039192944832264764,2024-08
2024-09-30,20.13,21.11,19.61,21.11,19.3902,0,0.0,0.020794727088948806,2024-09
2024-10-31,20.96,21.64,20.96,21.04,19.3259,0,0.0,-0.003316108137100149,2024-10
2024-11-29,21.16,22.15,21.04,22.07,20.272,0,0.0,0.04895502926125039,2024-11
2024-12-31,22.22,22.68,20.94,21.03,20.0809,0,0.868,-0.009426795580110392,2024-12
2025-01-31,21.15,22.32,21.04,22.17,21.1695,0,0.0,0.05421071764711738,2025-01
2025-02-28,22.08,22.58,21.23,21.6,20.6252,0,0.0,-0.025711518930536803,2025-02
2025-03-31,21.11,21.19,19.89,20.02,19.1165,0,0.0,-0.07314838159145132,2025-03
2025-04-30,20.17,20.3,18.12,20.18,19.2693,0,0.0,0.007993094970313752,2025-04
2025-05-30,20.44,21.86,20.44,21.85,20.8639,0,0.0,0.08275339529718262,2025-05
2025-06-30,22.09,23.33,22.09,23.33,22.2771,0,0.0,0.06773422035189958,2025-06
2025-07-31,23.07,24.07,23.07,24.07,22.9837,0,0.0,0.03171867074260115,2025-07
2025-08-29,23.59,24.36,23.59,24.13,23.041,0,0.0,0.0024930711765294156,2025-08
2025-09-30,23.97,25.04,23.97,24.76,23.6426,0,0.0,0.026109977865544032,2025-09
2025-10-31,24.69,25.54,24.25,25.01,23.8813,0,0.0,0.010096182314973667,2025-10
2025-11-28,25.05,25.05,23.76,24.99,23.8622,0,0.0,-0.0007997889562125771,2025-11
2025-12-31,24.82,25.0,23.68,24.3,24.2585,0,1.09,0.016607856777665075,2025-12
