month_id,date,asset_id,asset_name,security,px_last,ret
2021-02,2021-02-26,0050,0050 ETF,0050 TT Equity,33.35,
2021-03,2021-03-31,0050,0050 ETF,0050 TT Equity,33.6875,1.011994003
2021-04,2021-04-29,0050,0050 ETF,0050 TT Equity,35.15,4.3413729128
2021-05,2021-05-31,0050,0050 ETF,0050 TT Equity,34.275,-2.4893314367
2021-06,2021-06-30,0050,0050 ETF,0050 TT Equity,34.7375,1.3493800146
2021-07,2021-07-30,0050,0050 ETF,0050 TT Equity,34.0125,-2.0870816841
2021-08,2021-08-31,0050,0050 ETF,0050 TT Equity,35.0875,3.1606027196
2021-09,2021-09-30,0050,0050 ETF,0050 TT Equity,34.2625,-2.3512646954
2021-10,2021-10-29,0050,0050 ETF,0050 TT Equity,33.95,-0.9120758847
2021-11,2021-11-30,0050,0050 ETF,0050 TT Equity,34.5,1.6200294551
2021-12,2021-12-30,0050,0050 ETF,0050 TT Equity,36.375,5.4347826087
2022-01,2022-01-26,0050,0050 ETF,0050 TT Equity,35.3875,-2.7147766323
2022-02,2022-02-25,0050,0050 ETF,0050 TT Equity,34.625,-2.1547156482
2022-03,2022-03-31,0050,0050 ETF,0050 TT Equity,34.525,-0.2888086643
2022-04,2022-04-29,0050,0050 ETF,0050 TT Equity,32.1875,-6.7704561912
2022-05,2022-05-31,0050,0050 ETF,0050 TT Equity,32.45,0.8155339806
2022-06,2022-06-30,0050,0050 ETF,0050 TT Equity,28.95,-10.7858243451
2022-07,2022-07-29,0050,0050 ETF,0050 TT Equity,29.5,1.8998272884
2022-08,2022-08-31,0050,0050 ETF,0050 TT Equity,29.4,-0.3389830508
2022-09,2022-09-30,0050,0050 ETF,0050 TT Equity,25.8625,-12.0323129252
2022-10,2022-10-31,0050,0050 ETF,0050 TT Equity,24.7625,-4.2532624456
2022-11,2022-11-30,0050,0050 ETF,0050 TT Equity,29.0875,17.4659262998
2022-12,2022-12-30,0050,0050 ETF,0050 TT Equity,27.55,-5.2857756768
2023-01,2023-01-31,0050,0050 ETF,0050 TT Equity,29.575,7.3502722323
2023-02,2023-02-24,0050,0050 ETF,0050 TT Equity,29.7,0.4226542688
2023-03,2023-03-31,0050,0050 ETF,0050 TT Equity,30.4,2.3569023569
2023-04,2023-04-28,0050,0050 ETF,0050 TT Equity,29.35,-3.4539473684
2023-05,2023-05-31,0050,0050 ETF,0050 TT Equity,31.5375,7.4531516184
2023-06,2023-06-30,0050,0050 ETF,0050 TT Equity,32.275,2.3384859294
2023-07,2023-07-31,0050,0050 ETF,0050 TT Equity,32.2,-0.2323780015
2023-08,2023-08-31,0050,0050 ETF,0050 TT Equity,31.425,-2.4068322981
2023-09,2023-09-28,0050,0050 ETF,0050 TT Equity,30.6625,-2.4264120923
2023-10,2023-10-31,0050,0050 ETF,0050 TT Equity,30.2875,-1.2229922544
2023-11,2023-11-30,0050,0050 ETF,0050 TT Equity,32.8375,8.4193148989
2023-12,2023-12-29,0050,0050 ETF,0050 TT Equity,33.8625,3.1214312904
2024-01,2024-01-31,0050,0050 ETF,0050 TT Equity,33.5875,-0.8121077889
2024-02,2024-02-29,0050,0050 ETF,0050 TT Equity,35.825,6.6617045032
2024-03,2024-03-29,0050,0050 ETF,0050 TT Equity,39.475,10.1884159107
2024-04,2024-04-30,0050,0050 ETF,0050 TT Equity,39.5625,0.221659278
2024-05,2024-05-31,0050,0050 ETF,0050 TT Equity,41.5,4.897314376
2024-06,2024-06-28,0050,0050 ETF,0050 TT Equity,46.6125,12.3192771084
2024-07,2024-07-31,0050,0050 ETF,0050 TT Equity,45.2125,-3.0034861893
2024-08,2024-08-30,0050,0050 ETF,0050 TT Equity,45.3375,0.2764722145
2024-09,2024-09-30,0050,0050 ETF,0050 TT Equity,45.9875,1.4336917563
2024-10,2024-10-30,0050,0050 ETF,0050 TT Equity,47.95,4.2674639848
2024-11,2024-11-29,0050,0050 ETF,0050 TT Equity,46.8125,-2.3722627737
2024-12,2024-12-31,0050,0050 ETF,0050 TT Equity,48.9375,4.5393858478
2025-01,2025-01-22,0050,0050 ETF,0050 TT Equity,50.325,2.8352490421
2025-02,2025-02-27,0050,0050 ETF,0050 TT Equity,48.125,-4.3715846995
2025-03,2025-03-31,0050,0050 ETF,0050 TT Equity,43.1875,-10.2597402597
2025-04,2025-04-30,0050,0050 ETF,0050 TT Equity,42.15,-2.4023154848
2025-05,2025-05-29,0050,0050 ETF,0050 TT Equity,44.9375,6.6132858837
2025-06,2025-06-30,0050,0050 ETF,0050 TT Equity,48.36,7.6161335188
2025-07,2025-07-31,0050,0050 ETF,0050 TT Equity,51.55,6.5963606286
2025-08,2025-08-29,0050,0050 ETF,0050 TT Equity,52.5,1.842870999
2025-09,2025-09-30,0050,0050 ETF,0050 TT Equity,57.8,10.0952380952
2025-10,2025-10-31,0050,0050 ETF,0050 TT Equity,64.75,12.0242214533
2025-11,2025-11-28,0050,0050 ETF,0050 TT Equity,62.35,-3.7065637066
2025-12,2025-12-31,0050,0050 ETF,0050 TT Equity,65.6,5.2125100241
