month_id,date,asset_id,asset_name,security,px_last,ret
2021-02,2021-02-26,jko,街口台灣5年,CHTAIFD TT Equity,39.95,
2021-03,2021-03-31,jko,街口台灣5年,CHTAIFD TT Equity,41.28,3.3291614518
2021-04,2021-04-29,jko,街口台灣5年,CHTAIFD TT Equity,42.62,3.246124031
2021-05,2021-05-31,jko,街口台灣5年,CHTAIFD TT Equity,38.14,-10.5114969498
2021-06,2021-06-30,jko,街口台灣5年,CHTAIFD TT Equity,39.24,2.8841111694
2021-07,2021-07-30,jko,街口台灣5年,CHTAIFD TT Equity,38.5,-1.8858307849
2021-08,2021-08-31,jko,街口台灣5年,CHTAIFD TT Equity,38.81,0.8051948052
2021-09,2021-09-30,jko,街口台灣5年,CHTAIFD TT Equity,36.23,-6.647771193
2021-10,2021-10-29,jko,街口台灣5年,CHTAIFD TT Equity,38.48,6.2103229368
2021-11,2021-11-30,jko,街口台灣5年,CHTAIFD TT Equity,42.21,9.6933471933
2021-12,2021-12-30,jko,街口台灣5年,CHTAIFD TT Equity,42.99,1.8479033404
2022-01,2022-01-26,jko,街口台灣5年,CHTAIFD TT Equity,39.32,-8.5368690393
2022-02,2022-02-25,jko,街口台灣5年,CHTAIFD TT Equity,40.37,2.6703967447
2022-03,2022-03-31,jko,街口台灣5年,CHTAIFD TT Equity,40.39,0.0495417389
2022-04,2022-04-29,jko,街口台灣5年,CHTAIFD TT Equity,34.92,-13.5429561773
2022-05,2022-05-31,jko,街口台灣5年,CHTAIFD TT Equity,36.69,5.0687285223
2022-06,2022-06-30,jko,街口台灣5年,CHTAIFD TT Equity,33.78,-7.931316435
2022-07,2022-07-29,jko,街口台灣5年,CHTAIFD TT Equity,34.43,1.9242155121
2022-08,2022-08-31,jko,街口台灣5年,CHTAIFD TT Equity,35.71,3.7176880627
2022-09,2022-09-30,jko,街口台灣5年,CHTAIFD TT Equity,31.96,-10.5012601512
2022-10,2022-10-31,jko,街口台灣5年,CHTAIFD TT Equity,30.1,-5.8197747184
2022-11,2022-11-30,jko,街口台灣5年,CHTAIFD TT Equity,35.23,17.0431893688
2022-12,2022-12-30,jko,街口台灣5年,CHTAIFD TT Equity,33.81,-4.0306556912
2023-01,2023-01-31,jko,街口台灣5年,CHTAIFD TT Equity,35.78,5.8266784975
2023-02,2023-02-24,jko,街口台灣5年,CHTAIFD TT Equity,37.66,5.2543320291
2023-03,2023-03-31,jko,街口台灣5年,CHTAIFD TT Equity,38.65,2.6287838555
2023-04,2023-04-28,jko,街口台灣5年,CHTAIFD TT Equity,38.48,-0.4398447607
2023-05,2023-05-31,jko,街口台灣5年,CHTAIFD TT Equity,40.84,6.1330561331
2023-06,2023-06-30,jko,街口台灣5年,CHTAIFD TT Equity,42.93,5.1175318315
2023-07,2023-07-31,jko,街口台灣5年,CHTAIFD TT Equity,46.25,7.7335196832
2023-08,2023-08-31,jko,街口台灣5年,CHTAIFD TT Equity,47.51,2.7243243243
2023-09,2023-09-28,jko,街口台灣5年,CHTAIFD TT Equity,46.61,-1.8943380341
2023-10,2023-10-31,jko,街口台灣5年,CHTAIFD TT Equity,42.18,-9.5043981978
2023-11,2023-11-30,jko,街口台灣5年,CHTAIFD TT Equity,46.93,11.2612612613
2023-12,2023-12-29,jko,街口台灣5年,CHTAIFD TT Equity,48.42,3.1749414021
2024-01,2024-01-31,jko,街口台灣5年,CHTAIFD TT Equity,50.91,5.1425030979
2024-02,2024-02-29,jko,街口台灣5年,CHTAIFD TT Equity,54.93,7.8962875663
2024-03,2024-03-29,jko,街口台灣5年,CHTAIFD TT Equity,53.35,-2.8763881303
2024-04,2024-04-30,jko,街口台灣5年,CHTAIFD TT Equity,52.13,-2.2867853796
2024-05,2024-05-31,jko,街口台灣5年,CHTAIFD TT Equity,53.69,2.9925187032
2024-06,2024-06-28,jko,街口台灣5年,CHTAIFD TT Equity,57.07,6.2953995157
2024-07,2024-07-31,jko,街口台灣5年,CHTAIFD TT Equity,51.07,-10.5134045909
2024-08,2024-08-30,jko,街口台灣5年,CHTAIFD TT Equity,54.47,6.6575288819
2024-09,2024-09-30,jko,街口台灣5年,CHTAIFD TT Equity,52.51,-3.5983109969
2024-10,2024-10-30,jko,街口台灣5年,CHTAIFD TT Equity,55.24,5.1990097124
2024-11,2024-11-29,jko,街口台灣5年,CHTAIFD TT Equity,55.06,-0.3258508327
2024-12,2024-12-31,jko,街口台灣5年,CHTAIFD TT Equity,59,7.1558300036
2025-01,2025-01-22,jko,街口台灣5年,CHTAIFD TT Equity,58.59,-0.6949152542
2025-02,2025-02-27,jko,街口台灣5年,CHTAIFD TT Equity,54.4,-7.1513910224
2025-03,2025-03-31,jko,街口台灣5年,CHTAIFD TT Equity,45.02,-17.2426470588
2025-04,2025-04-30,jko,街口台灣5年,CHTAIFD TT Equity,44.61,-0.9107063527
2025-05,2025-05-29,jko,街口台灣5年,CHTAIFD TT Equity,51.81,16.1398789509
2025-06,2025-06-30,jko,街口台灣5年,CHTAIFD TT Equity,56.75,9.5348388342
2025-07,2025-07-31,jko,街口台灣5年,CHTAIFD TT Equity,61.81,8.9162995595
2025-08,2025-08-29,jko,街口台灣5年,CHTAIFD TT Equity,72.26,16.9066494095
2025-09,2025-09-30,jko,街口台灣5年,CHTAIFD TT Equity,77.91,7.8189869914
2025-10,2025-10-31,jko,街口台灣5年,CHTAIFD TT Equity,90.19,15.7617764087
2025-11,2025-11-28,jko,街口台灣5年,CHTAIFD TT Equity,94.94,5.2666592749
2025-12,2025-12-31,jko,街口台灣5年,CHTAIFD TT Equity,102.35,7.8049294291
