month_id,factor_code,factor_name,RF_ANN,RF,MKT_RF,SMB,HML_BM,EP,DY,MOM,ret_allianz,ret_jko,ret_0050,excess_allianz,excess_jko,excess_0050
2023-05,Z9999,上市＋上櫃,1.575,0.13125,6.0687,-1.2603,-2.5879,-1.544,-1.0304,4.5707,9.2557372892,6.1330561331,7.4531516184,9.1244872892,6.0018061331,7.3219016184
2023-06,Z9999,上市＋上櫃,1.575,0.13125,3.422,2.2092,0.9452,-1.1157,-1.3228,5.1099,7.4503887664,5.1175318315,2.3384859294,7.3191387664,4.9862818315,2.2072359294
2023-07,Z9999,上市＋上櫃,1.575,0.13125,2.0907,-2.2501,3.4026,6.2176,4.4494,5.8316,7.0309968679,7.7335196832,-0.2323780015,6.8997468679,7.6022696832,-0.3636280015
2023-08,Z9999,上市＋上櫃,1.575,0.13125,-2.779,-0.4819,1.1824,2.3902,1.9068,0.2239,0.4843592331,2.7243243243,-2.4068322981,0.3531092331,2.5930743243,-2.5380822981
2023-09,Z9999,上市＋上櫃,1.575,0.13125,-1.4472,2.0952,1.7427,1.3616,3.3157,-1.5715,-1.1548503716,-1.8943380341,-2.4264120923,-1.2861003716,-2.0255880341,-2.5576620923
2023-10,Z9999,上市＋上櫃,1.575,0.13125,-2.2206,0.752,-1.5141,-0.5566,0.7537,-1.6167,-5.922990958,-9.5043981978,-1.2229922544,-6.054240958,-9.6356481978,-1.3542422544
2023-11,Z9999,上市＋上櫃,1.575,0.13125,8.9497,1.2908,-0.2749,1.1683,-1.5633,5.89,12.6133909287,11.2612612613,8.4193148989,12.4821409287,11.1300112613,8.2880648989
2023-12,Z9999,上市＋上櫃,1.575,0.13125,2.702,-1.5516,2.1723,0.5634,1.831,0.0293,3.442654392,3.1749414021,3.1214312904,3.311404392,3.0436914021,2.9901812904
2024-01,Z9999,上市＋上櫃,1.575,0.13125,-0.1377,1.831,0.1511,2.8331,-2.2041,6.1843,7.4904978215,5.1425030979,-0.8121077889,7.3592478215,5.0112530979,-0.9433577889
2024-02,Z9999,上市＋上櫃,1.575,0.13125,5.7585,2.7441,-1.1266,2.1906,0.0219,6.3394,6.4165588616,7.8962875663,6.6617045032,6.2853088616,7.7650375663,6.5304545032
2024-03,Z9999,上市＋上櫃,1.7,0.1416666667,6.6041,-6.4691,1.6685,6.9829,1.2161,3.3173,0.6645595267,-2.8763881303,10.1884159107,0.52289286,-3.018054797,10.046749244
2024-04,Z9999,上市＋上櫃,1.7,0.1416666667,0.2691,1.9981,3.8834,-2.2549,-1.2096,-1.4161,-0.6118669994,-2.2867853796,0.221659278,-0.7535336661,-2.4284520462,0.0799926114
2024-05,Z9999,上市＋上櫃,1.7,0.1416666667,3.6538,2.3105,3.0998,1.9747,1.4907,1.8451,1.9036046983,2.9925187032,4.897314376,1.7619380316,2.8508520366,4.7556477093
2024-06,Z9999,上市＋上櫃,1.7,0.1416666667,8.8215,-2.1882,-5.2479,2.0015,-4.4614,6.4706,11.2162162162,6.2953995157,12.3192771084,11.0745495495,6.1537328491,12.1776104418
2024-07,Z9999,上市＋上櫃,1.7,0.1416666667,-2.8065,1.6377,5.0572,3.8018,2.8499,0.3055,-7.8621971267,-10.5134045909,-3.0034861893,-8.0038637934,-10.6550712575,-3.145152856
2024-08,Z9999,上市＋上櫃,1.7,0.1416666667,0.838,1.5164,-0.1855,0.6605,-1.2519,2.2623,5.4379024125,6.6575288819,0.2764722145,5.2962357459,6.5158622153,0.1348055479
2024-09,Z9999,上市＋上櫃,1.7,0.1416666667,-0.3328,0.2149,1.3317,-0.4209,-0.4257,-2.1372,-4.0832842849,-3.5983109969,1.4336917563,-4.2249509515,-3.7399776635,1.2920250896
