asset,n_months,cumulative_return,annualized_return,annualized_volatility,annualized_sharpe,tracking_error_vs_spy,information_ratio_vs_spy,max_drawdown,monthly_mean,monthly_std,best_month,worst_month,skewness,kurtosis
SPY,59,0.9744490221132396,0.14839342324531768,0.152317260688206,0.7813030454865829,0.0,,-0.23927980807822868,0.012551059943073822,0.04397020573028107,0.0920875642408458,-0.0924163152135807,-0.5134597174119985,-0.2204354386680083
FCNTX,59,1.0553347962754307,0.15780956707409355,0.16855874394430354,0.7706937862574723,0.05812217145391626,0.1875572892181651,-0.3094575752881189,0.013459496353187987,0.048658718095254426,0.0938486873970745,-0.1155676410605031,-0.6278130119614543,-0.09005517968845789
ACTIVE_EW,59,0.8977101379397856,0.13917154326685388,0.17124460407377742,0.6653495718697816,0.05309782058627516,-0.0954543066816783,-0.3184384414313698,0.012128691972209572,0.04943405912963314,0.0963883484492751,-0.11784401214906785,-0.5580860475994857,-0.03544985597450889
AGTHX,59,0.7471515956927066,0.12017938889368995,0.17730678011941564,0.5525331370169598,0.058829294362014874,-0.35761211230328777,-0.3356727648799971,0.010797887591231155,0.0511840586155452,0.1089319305281746,-0.1201203832376326,-0.42389666575312435,0.011936844545857195
